      localhos   PRTAB(31DEC16)    1555               06-MAR-2018   15:03:40               Page    1
CALSFEB27   .ELWA  .   1  Disk= 2    SN Table version   3
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 06-MAR-2018 14:40:37
Last written by FRING on 06-MAR-2018 14:48:31
Ncol 26  Nrow 176    Sort cols:
    Table has     8 keyword-value pairs:
   NO_ANT   =           52
   NO_POL   =            2
   NO_IF    =            1
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table can be written as a FITS ASCII table
 
COL. NO.       1           2          3          4         5        6        7         8        9        10       11       12
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
       8   0.8684  -4.015E-08  -9.886E-13  226.80     51       0.000    0.000    0.000   0.3975  -0.918  -5.491E-08  -8.958E-13
       9   0.9989  -7.142E-08  -2.154E-12  208.84     51       0.000    0.000    0.000  -0.9055  -0.424  -9.278E-08  -5.829E-12
      10  -0.7323  -5.639E-08   1.231E-11  220.26     51       0.000    0.000    0.000   0.4638   0.886  -6.942E-08   2.293E-11
      11   0.9060  -7.293E-08  -1.056E-12  172.10     51       0.000    0.000    0.000   0.9764   0.216  -7.625E-08  -3.051E-12
      12  -0.9504  -4.087E-08   3.662E-11  215.10     51       0.000    0.000    0.000  -0.9660   0.259  -5.310E-08   3.088E-11
      13  -0.8263  -4.817E-08   1.746E-11  133.78     51       0.000    0.000    0.000   0.1548   0.988  -4.905E-08   1.243E-11
      14   0.2573  -5.873E-08  -3.974E-11  167.22     51       0.000    0.000    0.000   0.0949   0.995  -6.265E-08  -3.730E-11
      15  -0.9890  -5.368E-08  -2.766E-11  177.40     51       0.000    0.000    0.000  -0.5196  -0.854  -4.527E-08  -2.864E-11
      16  -0.9747  -6.261E-08  -3.414E-13  188.23     51       0.000    0.000    0.000   0.8180  -0.575  -6.889E-08  -2.449E-12
      17   0.7423  -7.387E-08   2.144E-11  213.76     51       0.000    0.000    0.000  -0.9239   0.383  -7.569E-08   1.339E-11
      18  -0.7911  -5.413E-08   4.461E-12  225.39     51       0.000    0.000    0.000   0.9975   0.071  -6.991E-08  -8.540E-12
      19  -0.3968  -7.881E-08   1.948E-11  217.87     51       0.000    0.000    0.000  -0.7687   0.640  -5.857E-08   1.045E-11
      20   0.0958  -9.297E-08   1.789E-11  159.93     51       0.000    0.000    0.000  -0.0314  -1.000  -8.194E-08   2.315E-11
      21   0.0000   0.000E+00   0.000E+00    7.00     51       0.000    0.000    0.000   1.0000   0.000   0.000E+00   0.000E+00
      22  -0.9580  -4.822E-07   6.873E-11   14.07     51       0.000    0.000    0.000   0.4863  -0.874  -4.908E-07   7.257E-11
